Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,class
1,1,1,1,46,8,3,0,0,0,0,-1,9,1
1,1,1,1,37,7,3,0,0,0,0,-1,1,1
1,1,1,1,21,5,3,0,0,0,0,-1,9,1
1,1,1,2,20,4,3,0,0,0,0,-1,9,1
1,1,3,2,14,3,3,5,3,0,0,-1,0,-1
1,2,3,1,21,5,3,1,3,0,0,-1,0,1
3,2,1,1,38,7,3,0,0,0,0,-1,9,1
2,2,1,1,27,6,3,0,0,0,0,-1,9,1
1,1,3,2,13,3,3,5,1,0,0,-1,0,1
2,1,2,2,24,5,3,0,0,1,0,-1,9,1
2,1,1,1,47,8,3,0,0,0,0,-1,4,1
1,1,3,2,16,4,3,5,3,0,0,-1,0,1
2,3,2,1,27,6,3,0,0,2,0,-1,9,1
2,1,1,1,33,6,3,0,0,0,0,-1,9,1
2,1,1,2,24,5,3,0,0,0,0,-1,9,1
1,1,1,1,61,9,2,0,0,0,0,-1,9,2
2,1,2,1,70,10,3,0,0,2,0,-1,9,1
1,1,1,1,24,5,3,0,0,0,0,-1,9,1
1,1,1,1,17,4,3,0,0,0,0,-1,2,1
2,2,2,2,-1,-1,3,0,0,1,0,-1,9,1
1,1,1,2,18,4,3,0,0,0,0,-1,9,-1
2,2,1,2,51,8,3,0,0,0,0,-1,9,1
1,1,1,1,33,6,3,0,0,0,0,-1,11,1
2,1,1,1,35,6,3,0,0,0,0,-1,9,1
1,1,1,2,48,8,3,0,0,0,0,-1,9,1
1,2,2,1,34,6,3,0,0,0,0,-1,10,3
2,1,1,1,55,8,3,0,0,0,0,-1,1,1
1,1,3,2,11,3,3,5,1,0,0,-1,0,1
1,1,1,2,36,7,3,0,0,0,0,-1,9,-1
1,1,1,2,50,8,3,0,0,0,0,-1,9,1
2,1,1,2,22,5,3,0,0,0,0,-1,1,-1
1,1,1,1,27,6,3,0,0,0,0,-1,9,1
1,1,1,1,34,6,3,0,0,0,0,-1,9,1
1,1,1,2,41,7,3,0,0,0,0,-1,9,2
1,1,3,2,40,7,3,5,3,0,0,-1,0,1
2,1,1,2,44,7,3,0,0,0,0,-1,9,3
2,1,1,1,29,6,3,0,0,0,0,-1,9,1
2,1,1,2,20,4,2,0,0,0,0,-1,1,1
2,1,2,1,30,6,3,0,0,1,0,-1,9,1
1,1,1,1,21,5,3,0,0,0,0,-1,9,1
1,1,1,1,41,7,3,0,0,0,0,-1,5,1
1,1,3,1,4,1,2,6,9,0,0,-1,0,-1
1,1,1,1,25,5,3,0,0,0,0,-1,9,2
1,1,1,1,43,7,3,0,0,0,0,-1,9,-1
2,3,2,1,19,4,2,0,0,1,0,-1,9,1
2,2,1,1,44,7,3,0,0,0,0,-1,9,-1
1,3,2,2,17,4,3,0,0,2,0,-1,9,1
1,1,2,1,63,9,3,0,0,0,3,-1,11,1
2,1,2,2,6,2,3,0,0,2,0,-1,8,-1
1,2,2,2,16,4,3,0,0,0,0,-1,2,-1
1,1,3,2,13,3,2,4,1,0,0,-1,0,-1
1,1,1,1,45,7,2,0,0,0,0,-1,9,1
2,1,1,2,33,6,3,0,0,0,0,-1,9,1
1,2,2,1,24,5,3,0,0,1,0,-1,9,1
1,1,1,1,39,7,3,0,0,0,0,-1,9,3
2,2,2,2,60,9,3,0,0,1,0,-1,9,1
1,1,1,1,17,4,3,0,0,0,0,-1,9,3
2,1,1,2,23,5,3,0,0,0,0,-1,9,1
1,2,2,2,22,5,3,0,0,2,0,-1,9,2
2,2,1,1,52,8,3,0,0,0,0,-1,19,3
2,2,2,2,72,10,3,0,0,1,0,-1,9,-1
2,2,2,2,34,6,3,0,0,1,0,-1,9,3
1,1,1,1,10,2,3,0,0,0,0,-1,1,-1
1,2,1,1,39,7,3,0,0,0,0,-1,20,3
1,1,3,1,78,11,3,5,3,0,0,-1,0,1
1,1,3,1,39,7,3,5,1,0,0,-1,0,1
1,2,3,1,59,9,1,9,5,0,0,-1,0,1
2,1,1,1,39,7,3,0,0,0,0,-1,9,2
2,2,1,2,43,7,2,0,0,0,0,-1,9,1
1,2,2,2,32,6,3,0,0,2,0,-1,11,1
1,1,2,1,17,4,3,0,0,1,0,-1,9,3
1,1,1,1,79,11,3,0,0,0,0,-1,9,-1
2,1,1,1,43,7,3,0,0,0,0,-1,9,1
2,1,1,1,46,8,3,0,0,0,0,-1,9,2
1,1,1,2,34,6,3,0,0,0,0,-1,9,2
2,2,1,1,46,8,3,0,0,0,0,-1,9,1
1,1,1,1,49,8,3,0,0,0,0,-1,19,3
2,2,2,2,60,9,3,0,0,1,0,-1,9,1
2,2,2,1,48,8,3,0,0,1,0,-1,9,-1
2,1,2,2,41,7,3,0,0,1,0,-1,9,1
2,1,1,1,50,8,3,0,0,0,0,-1,9,1
3,2,1,1,33,6,2,0,0,0,0,-1,1,-1
2,1,1,2,24,5,3,0,0,0,0,-1,9,1
1,1,2,1,14,3,3,0,0,2,0,-1,9,1
1,1,1,2,30,6,3,0,0,0,0,-1,9,1
1,1,1,2,41,7,3,0,0,0,0,-1,9,1
1,1,1,1,17,4,3,0,0,0,0,-1,9,3
1,1,1,2,26,6,3,0,0,0,0,-1,9,1
1,1,1,2,22,5,3,0,0,0,0,-1,9,1
1,1,3,2,7,2,1,9,5,0,0,-1,0,1
1,1,1,1,34,6,3,0,0,0,0,-1,9,1
1,1,1,2,31,6,3,0,0,0,0,-1,1,1
1,1,2,2,43,7,3,0,0,1,0,-1,9,1
1,1,2,1,22,5,3,0,0,2,0,-1,9,1
1,1,3,1,31,6,2,5,1,0,0,-1,0,-1
2,1,2,2,23,5,3,0,0,0,-1,-1,11,1
2,1,1,2,27,6,3,0,0,0,0,-1,9,1
2,1,1,2,50,8,3,0,0,0,0,-1,3,3
2,1,2,1,23,5,3,0,0,1,0,-1,9,1
1,2,2,2,12,3,3,0,0,2,0,-1,9,1
1,1,1,2,62,9,3,0,0,0,0,-1,9,3
1,1,1,1,19,4,3,0,0,0,0,-1,9,1
1,1,3,2,46,8,3,1,3,0,0,-1,0,1
1,3,3,2,22,5,3,5,2,0,0,-1,0,1
1,1,2,2,23,5,3,0,0,1,0,-1,9,1
1,4,3,2,49,8,3,10,9,0,0,-1,0,1
2,1,1,1,21,5,3,0,0,0,0,-1,9,1
1,1,1,1,19,4,2,0,0,0,0,-1,3,-1
2,1,2,2,24,5,3,0,0,1,0,-1,9,1
2,4,2,2,51,8,3,0,0,1,0,-1,9,1
2,3,2,2,73,10,3,0,0,1,0,-1,9,2
2,2,2,1,29,6,3,0,0,1,0,-1,9,1
1,1,3,1,21,5,1,10,9,0,0,-1,0,1
2,1,1,1,39,7,3,0,0,0,0,-1,9,1
1,2,2,1,4,1,3,0,0,2,0,-1,9,1
1,1,3,1,21,5,3,6,9,0,0,-1,0,1
1,1,1,1,49,8,2,0,0,0,0,-1,3,1
2,1,1,2,41,7,3,0,0,0,0,-1,9,1
1,1,1,1,17,4,3,0,0,0,0,-1,9,-1
2,1,1,1,30,6,3,0,0,0,0,-1,1,1
2,2,2,2,19,4,3,0,0,2,0,-1,9,3
1,2,1,1,70,10,3,0,0,0,0,-1,8,1
1,1,1,1,21,5,3,0,0,0,0,-1,9,3
1,1,1,1,46,8,3,0,0,0,0,-1,5,1
1,1,1,1,39,7,2,0,0,0,0,-1,5,-1
1,1,1,1,27,6,3,0,0,0,0,-1,9,1
1,1,1,1,26,6,3,0,0,0,0,-1,9,1
1,1,2,1,39,7,3,0,0,1,0,-1,9,1
1,1,3,1,23,5,3,5,3,0,0,-1,0,-1
1,1,1,1,14,3,3,0,0,0,0,-1,1,-1
1,5,2,1,21,5,2,0,0,2,0,-1,9,2
1,1,1,2,27,6,3,0,0,0,0,-1,9,1
1,3,2,1,28,6,2,0,0,1,0,-1,9,1
2,1,1,1,11,3,3,0,0,0,0,-1,1,1
1,1,3,1,81,11,3,5,1,0,0,-1,0,1
1,1,2,1,17,4,3,0,0,1,0,-1,9,1
1,1,2,2,64,9,3,0,0,1,0,-1,9,2
1,1,3,2,80,11,3,5,1,0,0,-1,0,1
1,1,1,2,39,7,3,0,0,0,0,-1,9,1
1,3,2,2,34,6,3,0,0,1,0,-1,9,1
2,2,1,1,32,6,3,0,0,0,0,-1,9,1
2,1,2,1,24,5,3,0,0,1,0,-1,8,-1
2,1,1,1,27,6,3,0,0,0,0,-1,1,-1
2,1,1,2,79,11,3,0,0,0,0,-1,9,-1
2,1,1,1,16,4,3,0,0,0,0,-1,2,1
2,4,2,2,74,10,3,0,0,1,0,-1,9,1
1,1,1,1,18,4,3,0,0,0,0,-1,9,3
1,1,1,2,68,10,3,0,0,0,0,-1,19,3
1,2,2,2,58,9,3,0,0,1,0,-1,9,-1
1,3,2,1,12,3,3,0,0,2,0,-1,9,1
1,1,1,2,21,5,3,0,0,0,0,-1,9,1
3,3,1,2,17,4,3,0,0,0,0,-1,9,3
1,1,3,2,21,5,2,5,1,0,0,-1,0,1
1,1,2,2,-1,-1,3,0,0,2,0,-1,8,1
2,1,1,1,32,6,3,0,0,0,0,-1,9,1
2,1,1,1,19,4,3,0,0,0,0,-1,1,1
1,1,2,2,49,8,3,0,0,1,0,-1,9,1
2,1,1,2,40,7,3,0,0,0,0,-1,9,1
1,1,1,1,54,8,3,0,0,0,0,-1,9,1
1,1,1,2,45,7,3,0,0,0,0,-1,9,1
1,1,2,1,20,4,3,0,0,1,0,-1,9,1
1,2,2,1,22,5,3,0,0,1,0,-1,9,1
1,1,1,2,34,6,3,0,0,0,0,-1,9,-1
1,1,1,1,41,7,2,0,0,0,0,-1,90,2
2,2,1,1,34,6,3,0,0,0,0,-1,9,1
1,1,1,2,-1,-1,3,0,0,0,0,-1,9,-1
1,1,3,2,16,4,3,9,9,0,0,-1,0,1
2,1,1,1,25,5,3,0,0,0,0,-1,9,1
1,1,1,1,21,5,3,0,0,0,0,-1,9,1
1,1,1,1,34,6,3,0,0,0,0,-1,3,1
2,3,2,2,26,6,3,0,0,1,0,-1,9,1
2,1,1,1,20,4,3,0,0,0,0,-1,9,1
2,1,1,1,62,9,3,0,0,0,0,-1,9,1
2,2,1,1,41,7,1,0,0,0,0,-1,9,1
2,1,1,1,39,7,3,0,0,0,0,-1,5,1
2,6,2,2,50,8,3,0,0,2,0,-1,9,-1
2,4,2,2,85,11,3,0,0,1,0,-1,9,-1
2,3,2,2,11,3,3,0,0,2,0,-1,9,-1
1,1,1,2,55,8,3,0,0,0,0,-1,9,1
3,2,1,2,37,7,3,0,0,0,0,-1,9,1
1,1,1,1,18,4,3,0,0,0,0,-1,9,1
1,2,2,1,20,4,3,0,0,1,0,-1,9,-1
1,2,2,2,18,4,3,0,0,1,0,-1,9,3
6,4,1,1,37,7,2,0,0,0,0,-1,9,-1
2,1,1,1,35,6,3,0,0,0,0,-1,9,1
3,2,2,2,56,9,3,0,0,2,0,-1,9,1
1,1,1,1,55,8,3,0,0,0,0,-1,9,1
1,1,1,1,66,10,3,0,0,0,0,-1,9,3
2,2,2,2,20,4,3,0,0,1,0,-1,9,-1
1,2,3,2,17,4,3,6,8,0,0,-1,0,-1
2,1,1,1,39,7,3,0,0,0,0,-1,9,1
1,1,3,1,7,2,3,5,1,0,0,-1,0,-1
2,1,1,1,16,4,3,0,0,0,0,-1,1,1
2,1,1,2,21,5,3,0,0,0,0,-1,9,-1
1,1,2,1,55,8,3,0,0,0,3,-1,11,1
1,2,2,1,18,4,3,0,0,1,0,-1,9,1
2,1,1,2,52,8,3,0,0,0,0,-1,9,2
2,1,1,1,25,5,3,0,0,0,0,-1,9,1
1,1,1,1,16,4,2,0,0,0,0,-1,9,1
1,1,2,2,75,10,3,0,0,0,4,-1,11,-1
1,1,1,1,35,6,3,0,0,0,0,-1,9,1
1,1,2,1,30,6,3,0,0,1,0,-1,9,1
2,1,1,1,17,4,3,0,0,0,0,-1,1,-1
2,2,2,1,50,8,3,0,0,1,0,-1,19,-1
2,3,2,1,19,4,3,0,0,0,4,-1,11,2
1,1,3,1,50,8,3,9,5,0,0,-1,0,-1
2,1,2,2,47,8,3,0,0,1,0,-1,9,-1
2,2,1,2,50,8,3,0,0,0,0,-1,9,-1
1,1,1,2,26,6,3,0,0,0,0,-1,9,1
2,1,1,2,69,10,3,0,0,0,0,-1,9,1
2,1,1,1,36,7,3,0,0,0,0,-1,9,3
2,1,1,2,69,10,3,0,0,0,0,-1,9,1
2,1,1,2,40,7,3,0,0,0,0,-1,9,3
1,1,1,2,47,8,3,0,0,0,0,-1,9,1
1,1,3,1,18,4,2,5,4,0,0,-1,0,1
1,1,1,1,39,7,3,0,0,0,0,-1,5,1
